ura_carpark_name,type_of_lot,number_of_lots,lot_type
ANG MO KIO AVENUE 1 HEAVY VEHICLE PARK,Motor Car,0,C
ANG MO KIO STREET 62,Motor Car,15,C
ANG MO KIO STREET 63,Motor Car,45,C
ANG MO KIO STREET 64,Motor Car,11,C
JALAN KAYU OFF STREET,Motor Car,135,C
SELETAR AEROSPACE VIEW,Motor Car,34,C
AYER RAJAH CRESCENT,Motor Car,21,C
BALESTIER ROAD,Motor Car,5,C
BHAMO ROAD,Motor Car,9,C
BOON TECK ROAD,Motor Car,6,C
JALAN AMPAS,Motor Car,21,C
JALAN DUSUN,Motor Car,24,C
JALAN KEMAMAN,Motor Car,16,C
JALAN RAJA UDANG,Motor Car,16,C
JALAN RAMA RAMA,Motor Car,10,C
KIM KEAT CLOSE,Motor Car,22,C
LORONG AMPAS,Motor Car,6,C
MANDALAY ROAD,Motor Car,11,C
MARTABAN ROAD,Motor Car,16,C
MINBU ROAD,Motor Car,4,C
MINBU ROAD OFF STREET,Motor Car,111,C
PROME ROAD,Motor Car,3,C
SERVICE ROAD OFF BALESTIER ROAD,Motor Car,10,C
SHAN ROAD,Motor Car,11,C
SHREWSBURY ROAD,Motor Car,14,C
SHREWSBURY ROAD OFF STREET,Motor Car,29,C
TAN TOCK SENG LINK,Motor Car,12,C
BEDOK ROAD FOOD CENTRE OFF STREET,Motor Car,105,C
BEDOK SOUTH ROAD,Motor Car,0,C
BEDOK SPORTS COMPLEX (SSC),Motor Car,415,C
JALAN LANA,Motor Car,9,C
SERVICE ROAD OFF CHAI CHEE DRIVE,Motor Car,11,C
BENOI ROAD,Motor Car,43,C
BENOI SECTOR,Motor Car,14,C
BISHAN SPORTS COMPLEX (SSC),Motor Car,476,C
BRADDELL ROAD HEAVY VEHICLE PARK,Motor Car,0,C
JALAN BINCHANG,Motor Car,5,C
JALAN PEMIMPIN,Motor Car,21,C
SIN MING WALK,Motor Car,17,C
BACKLANE BET LORONG TELOK/CIRCULAR ROAD,Motor Car,0,C
BACKLANE BET NORTH CANAL ROAD/CIRCULAR RD,Motor Car,0,C
BACKLANE BET SYNAGOGUE STREET/CHURCH STREET,Motor Car,0,C
BACKLANE OFF SYNAGOGUE STREET,Motor Car,0,C
CIRCULAR ROAD,Motor Car,35,C
LORONG TELOK,Motor Car,25,C
PHILLIP STREET,Motor Car,24,C
BUKIT BATOK EAST AVENUE 2 HV PARK,Motor Car,0,C
BUKIT BATOK NATURE PARK OFF STREET,Motor Car,107,C
BUKIT BATOK ROAD / JURONG ROAD OFF STREET,Motor Car,30,C
BUKIT BATOK SWIMMING COMPLEX (SSC),Motor Car,20,C
HILLVIEW TERRACE,Motor Car,27,C
DELTA SPORTS COMPLEX (SSC),Motor Car,124,C
MARITIME SQUARE D OFF STREET,Motor Car,258,C
PRINCE PHILIP AVENUE,Motor Car,60,C
SEAH IM ROAD OFF STREET,Motor Car,436,C
TELOK BLANGAH DRIVE HEAVY VEHICLE PARK,Motor Car,0,C
TELOK BLANGAH HEIGHTS,Motor Car,0,C
TELOK BLANGAH STREET 31,Motor Car,0,C
TIONG BAHRU PARK OFF STREET,Motor Car,20,C
ADAM ROAD / DUNEARN CLOSE OFF STREET,Motor Car,12,C
ADAM ROAD FOOD CENTRE OFF STREET,Motor Car,63,C
ANAMALAI AVENUE,Motor Car,12,C
ANTHONY ROAD OFF STREET,Motor Car,52,C
BUKIT TIMAH LINK OFF STREET,Motor Car,29,C
BUKIT TIMAH MARKET OFF STREET,Motor Car,125,C
BUKIT TIMAH ROAD,Motor Car,11,C
CAIRNHILL ROAD SERVICE ROAD,Motor Car,12,C
CLEMENCEAU AVENUE,Motor Car,15,C
CLEMENCEAU AVENUE NORTH (NEWTON FC),Motor Car,243,C
CORONATION WALK,Motor Car,10,C
DAIRY FARM ROAD / PETIR ROAD HV PARK,Motor Car,0,C
DUNEARN CLOSE,Motor Car,24,C
KAMPONG JAVA FRINGE CAR PARK,Motor Car,183,C
KAMPONG JAVA ROAD,Motor Car,24,C
MAKEWAY AVENUE,Motor Car,11,C
PRINCE OF WALES ROAD,Motor Car,23,C
PRINCESS OF WALES ROAD,Motor Car,3,C
SIXTH AVENUE,Motor Car,21,C
STEVENS ROAD,Motor Car,9,C
3 CHANGI SOUTH AVENUE 4 (JTC),Motor Car,20,C
"BLK 20,22,24,26,28,30 CHANGI NORTH WAY (JTC)",Motor Car,97,C
"BLK 49,51,55,61,65 CHANGI NORTH CRES(JTC)",Motor Car,87,C
CHANGI BEACH PARK CP 1,Motor Car,66,C
CHANGI BEACH PARK CP 2,Motor Car,21,C
CHANGI BEACH PARK CP 3,Motor Car,37,C
CHANGI BEACH PARK CP 4,Motor Car,79,C
CHANGI BEACH PARK CP 5,Motor Car,39,C
CHANGI BEACH PARK CP 6,Motor Car,33,C
CHANGI NORTH CRESCENT,Motor Car,18,C
CHANGI NORTH RISE,Motor Car,13,C
CHANGI NORTH STREET 1,Motor Car,14,C
CHANGI NORTH STREET 2,Motor Car,9,C
